name,value
43192.0,CONTAB
3,CLINICADEESPECIALIDADES.
8,CONTAB
10,CLINICADEESPECIALIDADES.
15,CONTAB
17,CLINICADEESPECIALIDADES.
22,CONTAB
24,CLINICADEESPECIALIDADES.
29,CONTAB
31,CLINICADEESPECIALIDADES.
36,CONTAB
38,CLINICADEESPECIALIDADES.
43,CONTAB
45,CLINICADEESPECIALIDADES.
50,CONTAB
52,CLINICADEESPECIALIDADES.
57,CONTAB
59,CLINICADEESPECIALIDADES.
3,MEDICASCONOCOTO.
10,MEDICASCONOCOTO.
17,MEDICASCONOCOTO.
24,MEDICASCONOCOTO.
31,MEDICASCONOCOTO.
38,MEDICASCONOCOTO.
45,MEDICASCONOCOTO.
52,MEDICASCONOCOTO.
59,MEDICASCONOCOTO.
4,Direcci\xc3\xb3n.VicenteRocafuerteyBruning
11,Direcci\xc3\xb3n.VicenteRocafuerteyBruning
18,Direcci\xc3\xb3n.VicenteRocafuerteyBruning
25,Direcci\xc3\xb3n.VicenteRocafuerteyBruning
32,Direcci\xc3\xb3n.VicenteRocafuerteyBruning
39,Direcci\xc3\xb3n.VicenteRocafuerteyBruning
46,Direcci\xc3\xb3n.VicenteRocafuerteyBruning
53,Direcci\xc3\xb3n.VicenteRocafuerteyBruning
60,Direcci\xc3\xb3n.VicenteRocafuerteyBruning
4,Telefono:2345222096165702
11,Telefono:2345222096165702
18,Telefono:2345222096165702
25,Telefono:2345222096165702
32,Telefono:2345222096165702
39,Telefono:2345222096165702
46,Telefono:2345222096165702
53,Telefono:2345222096165702
60,Telefono:2345222096165702
43192.0,NOMBRE
2,CESRABAHAMONDE
4,FECHA
5,43192.0
8,NOMBRE
9,RAULSINMALEZA
11,FECHA
12,43192.0
15,NOMBRE
16,MAYRANACIMBA
18,FECHA
19,43192.0
22,NOMBRE
23,ALIZONSANCHEZLARCO
25,FECHA
26,43192.0
29,NOMBRE
30,PAOLAGALLARDO
32,FECHA
33,43192.0
36,NOMBRE
37,ALIZONSANCHEZLARCO
39,FECHA
40,43192.0
43,NOMBRE
44,ENDARACRISTIANDAVID
46,FECHA
47,43192.0
50,NOMBRE
51,VALIENTETOAQUIZAEMILIA
53,FECHA
54,43192.0
57,NOMBRE
58,MONSERRATETONNY
60,FECHA
61,43192.0
43192.0,MUESTRA
3,SANGRE
4,MEDICO:
8,MUESTRA
10,SANGRE
11,MEDICO:
15,MUESTRA
17,SANGRE
18,MEDICO:
22,MUESTRA
24,SANGRE
25,MEDICO:
29,MUESTRA
31,SANGRE
32,MEDICO:
36,MUESTRA
38,SANGRE
39,MEDICO:
43,MUESTRA
45,SANGRE
46,MEDICO:
50,MUESTRA
52,SANGRE
53,MEDICO:
57,MUESTRA
59,SANGRE
60,MEDICO:
43192.0,BIOMETRIA
3,RESULTADO
5,VALORESNORMALES
8,BIOMETRIA
10,RESULTADO
12,VALORESNORMALES
15,BIOMETRIA
17,RESULTADO
19,VALORESNORMALES
22,BIOMETRIA
24,RESULTADO
26,VALORESNORMALES
29,BIOMETRIA
31,RESULTADO
33,VALORESNORMALES
36,BIOMETRIA
38,RESULTADO
40,VALORESNORMALES
43,BIOMETRIA
45,RESULTADO
47,VALORESNORMALES
50,BIOMETRIA
52,RESULTADO
54,VALORESNORMALES
57,BIOMETRIA
59,RESULTADO
61,VALORESNORMALES
43192.0,HEMATOCRITO
3,"23,8%"
5,M:40-50%
6,H:45-55
8,HEMATOCRITO
10,"54,3%"
12,M:40-50%
13,H:45-55
15,HEMATOCRITO
17,"46,0%"
19,M:40-50%
20,H:45-55
22,HEMATOCRITO
24,"37,3%"
26,M:40-50%
27,H:45-55
29,HEMATOCRITO
31,"42,4%"
33,M:40-50%
34,H:45-55
36,HEMATOCRITO
38,"37,3%"
40,M:40-50%
41,H:45-55
43,HEMATOCRITO
45,"b""45,7%"""
47,M:40-50%
48,H:45-55
50,HEMATOCRITO
52,"b""31,5%"""
54,M:40-50%
55,H:45-55
57,HEMATOCRITO
59,"b""36,1%"""
61,M:40-50%
62,H:45-55
43192.0,HEMOGLOBINA
3,"7,6"
5,M11-15%
6,H12-17
8,HEMOGLOBINA
10,"17,4"
12,M11-15%
13,H12-17
15,HEMOGLOBINA
17,"14,8"
19,M11-15%
20,H12-17
22,HEMOGLOBINA
24,"12,0"
26,M11-15%
27,H12-17
29,HEMOGLOBINA
31,"12,8"
33,M11-15%
34,H12-17
36,HEMOGLOBINA
38,"12,0"
40,M11-15%
41,H12-17
43,HEMOGLOBINA
45,"15,3"
47,M11-15%
48,H12-17
50,HEMOGLOBINA
52,"10,3"
54,M11-15%
55,H12-17
57,HEMOGLOBINA
59,"11,3"
61,M11-15%
62,H12-17
43192.0,HEMATIES
3,2990000.0
5,"M4,0-5,5"
6,"H4,5-6,0millones/mm3"
8,HEMATIES
10,5430000.0
12,"M4,0-5,5"
13,"H4,5-6,0millones/mm3"
15,HEMATIES
17,4710000.0
19,"M4,0-5,5"
20,"H4,5-6,0millones/mm3"
22,HEMATIES
24,4140000.0
26,"M4,0-5,5"
27,"H4,5-6,0millones/mm3"
29,HEMATIES
31,4340000.0
33,"M4,0-5,5"
34,"H4,5-6,0millones/mm3"
36,HEMATIES
38,4140000.0
40,"M4,0-5,5"
41,"H4,5-6,0millones/mm3"
43,HEMATIES
45,4750000.0
47,"M4,0-5,5"
48,"H4,5-6,0millones/mm3"
50,HEMATIES
52,3480000.0
54,"M4,0-5,5"
55,"H4,5-6,0millones/mm3"
57,HEMATIES
59,4090000.0
61,"M4,0-5,5"
62,"H4,5-6,0millones/mm3"
43192.0,LEUCOCITOS
3,6700.0
5,4.000-10.000/mm3
8,LEUCOCITOS
10,6000.0
12,4.000-10.000/mm3
15,LEUCOCITOS
17,8100.0
19,4.000-10.000/mm3
22,LEUCOCITOS
24,5100.0
26,4.000-10.000/mm3
29,LEUCOCITOS
31,8300.0
